Well_ID,Well_Name,lat_dec,long_dec
380817113205501, (C-31-13) 6adc- 1,38.1380224,-113.3494084
380846113203501, (C-31-13) 5bbb- 1,38.14607785,-113.3438527
380849113203301, (C-31-13) 5bbb- 2,38.14691117,-113.3432972
380915112003001, (C-30- 2)34bcc- 1,38.15415046,-112.009085
380920112143301, (C-30-3)31cad- 1,38.15555556,-112.2425
380943113181001, (C-30-13)34bba- 1,38.1619112,-113.303574
380943113184801, (C-30-13)33abb- 1,38.1619111,-113.3141299
381055113152701, (C-30-13)25abb- 1,38.18191125,-113.2582954
381100113010301, (C-30-10)19dbb- 1,38.18330279,-113.0182876
381126113004501, (C-30-10)19aab- 1,38.19052498,-113.0132875
381147113002001, (C-30-10)17cca- 1,38.1963583,-113.0063429
381220112114001, (C-30- 3)15bba- 1,38.2055351,-112.195202
381226112124701, (C-30- 3)16bbb- 1,38.20720135,-112.2138137
381257113114401, (C-30-12) 9add- 1,38.21580024,-113.1963493
381314112395901, (C-30- 7) 5cdd- 1,38.22052628,-112.6671634
381318113024801, (C-30-11)12bbb- 1,38.22163529,-113.0474556
381323113103701, (C-30-12) 3ddd- 1,38.22302257,-113.1777377
381329109240001,T(D-29-23)33aca- 1,38.2247096,-109.4006694
381344112392701, (C-30- 7) 5add- 1,38.22885956,-112.6582743
381420112394701, (C-29- 7)32dbd- 1,38.2388594,-112.66383
381435112471401, (C-29- 8)31add- 1,38.24302546,-112.7880014
381447112380201, (C-29- 7)34bbd- 1,38.24635947,-112.6346624
381513113042801, (C-29-11)27cda- 1,38.25357894,-113.0752347
381516112422201, (C-29- 8)25cac- 1,38.25441465,-112.7068873
381618112432501, (C-29- 8)23caa- 1,38.2716368,-112.7243882
381624113035501, (C-29-11)22add- 1,38.27330095,-113.0660678
381625112412901, (C-29- 7)19bcd- 1,38.2733333,-112.6927778
381639112402101, (C-29- 7)20bba- 1,38.2774704,-112.6732753
381647112362201, (C-29- 7)14ddc- 1,38.2796929,-112.6068839
381654112413901, (C-29- 8)13dda- 1,38.28163698,-112.6949428
381716113014101, (C-29-11)13add- 1,38.28774566,-113.0288445
